GEO,Mean,Median,Standard Deviation,Minimum,Maximum
Alberta,6.439473684210526,5.9,2.0602872503094827,3.0,14.9
British Columbia,8.038245614035088,7.7,2.6055457434990044,3.5,15.0
Canada,7.932456140350877,7.6,1.7832503061790637,4.7,14.1
Manitoba,6.128771929824562,5.8,1.5197979587479866,2.9,11.8
New Brunswick,9.875087719298246,9.6,2.7073635985692257,3.8,16.2
Newfoundland and Labrador,14.196491228070176,14.2,3.232135702503172,5.9,22.0
Nova Scotia,9.43280701754386,9.149999999999999,2.5381713345785966,4.5,16.1
Ontario,7.444035087719299,7.3,1.500816836349821,4.7,14.4
Prince Edward Island,11.50578947368421,11.2,2.789444986003798,4.4,18.8
Quebec,9.06438596491228,9.05,2.71766564615697,3.4,18.1
Saskatchewan,5.732280701754386,5.5,1.372018918979677,2.7,12.5
